,n_target
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.09932027918315235
22,0.14292795986430382
23,0.18152900863215893
24,0.21775066161229792
25,0.25607467006961177
26,0.29070425670480027
27,0.31693357487577606
28,0.3294101667945671
29,0.3325910776909733
30,0.3348739361062643
31,0.3366354437643315
32,0.3382562390438719
33,0.34011982487591985
34,0.34232711932056753
35,0.3446736999818033
36,0.34708375016419474
37,0.34944681808236694
38,0.35163831977943666
39,0.35379797542424307
40,0.3559927412179064
41,0.3579877793300836
42,0.359546699818305
43,0.36043205012815627
44,0.360832401421191
45,0.3610796844154142
46,0.3611656108819891
47,0.3611632628466419
48,0.36108718617697433
49,0.36070325939208236
50,0.3598218720971235
51,0.3585109728863076
52,0.35683858227778786
53,0.3548727028382779
54,0.3514744140576335
55,0.3457186557834616
56,0.33797779267286876
57,0.3285402599407622
58,0.317770333649657
59,0.3022171966590448
60,0.2795354167133563
61,0.2517694299824795
62,0.22096159557709152
63,0.18914093964135947
64,0.15830991651528642
65,0.13042918696670544
66,0.10562615388379173
67,0.07712355706190821
68,0.049367882299814835
69,0.02687513380949079
70,0.012101310229733183
71,0.0062636831518424925
72,0.005353677519564844
73,0.004527640241298765
74,0.00378242785366208
75,0.003114896893272602
76,0.0025219038967481504
77,0.0020003054007065426
78,0.0015469579417655966
79,0.0011587180565431304
80,0.0008324422816569623
81,0.0005649871537249101
82,0.0003532092093647898
83,0.00019396498519442151
84,8.411101783162154e-05
85,2.0503843894209355e-05
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
