,omega,rho,i
1,1.2462855,0.0031084695696619413,0.018463134003288757
2,1.2715809999999999,0.0031084695696619413,0.01811931535380317
3,1.308049,0.0031084695696619413,0.016431743422565547
4,1.376177,0.0031084695696619413,0.016724753444076014
5,1.442105,0.00018948045584087466,0.01705992861789651
6,1.4835255,0.001294225652275128,0.017787278227727642
7,1.564484,0.0017344741203838459,0.01675055792266217
8,1.667557,0.001703882363641736,0.014789508017326885
9,1.8073215,0.0014223426505342715,0.01481532288962103
10,1.9281869999999999,0.001109747249546922,0.014889422577779797
11,1.9472325000000001,0.0009801359512939505,0.014501590874613612
12,1.930983,0.0011129415553518356,0.013645290132593331
13,1.9212850000000001,0.0014529898702592687,0.013252499383755641
14,1.8698765000000002,0.001939254226683737,0.017290938582559725
15,1.7544845,0.0025107079552927234,0.014478935259083206
16,1.7018615,0.0031073055925490705,0.014285950843729934
17,1.7095164999999999,0.0036915694082088166,0.018223625665928844
18,1.6663105,0.00424858940532119,0.03609043468191534
19,1.5698495000000001,0.004764436792730786,0.031706460363765225
20,1.523948,0.005225182779282187,0.020154466092403643
21,1.5423895,0.00561780521850977,0.006797816362915514
22,1.5459625000000001,0.005950134791812908,0.008104843673158554
23,1.5153130000000001,0.0062508550084559725,0.007607623572436976
24,1.4436669999999998,0.006549556022393129,0.009537531153655642
25,1.4105815,0.006875827987578531,0.011308757822119419
26,1.3836825,0.007258940783411855,0.014261139769898195
27,1.3716949999999999,0.007720797974539566,0.021507257492766822
28,1.381777,0.008275936810854926,0.020300260247807022
29,1.400818,0.00893857426769671,0.017791558801661705
30,1.4801595,0.00972292732040369,0.017211576623155072
31,1.5576455,0.010642889037842815,0.019438672365712263
32,1.6081125,0.01170490264002884,0.019252340550947603
33,1.744507,0.012907961498124334,0.01839590675162373
34,1.963031,0.014250735076820044,0.018674907220054607
35,2.204078,0.015731892840806703,0.017444222126133207
36,2.3699285,0.01734928009521688,0.017921130290829777
37,2.4461025,0.019081786475345083,0.01656278129385876
38,2.5529705,0.02088934594664774,0.015858360678310177
39,2.595501,0.022731068315023122,0.0128150881442885
40,2.5589850000000003,0.024566063386369484,0.013115517672865227
41,2.4928150000000002,0.026355147521289646,0.0112875484797713
42,2.4675615,0.02809838783859084,0.01256863785703385
43,2.3904075,0.029835102215284716,0.011256118357663892
44,2.1583200000000002,0.031606315083087484,0.009748059310284617
45,2.1932325,0.03345305087371534,0.013684181909516594
46,2.265109,0.035415829199624514,0.010523641707770906
47,2.146766,0.03752355883029157,0.01003881073651521
48,2.0819155,0.039793537692213395,0.009614233138491956
49,2.0472425,0.04224255889262695,0.009216013199122092
50,2.0551174999999997,0.044887415538769126,0.008961818988529017
51,2.005098,0.04774391677021228,0.009207295387701939
52,1.9297765,0.050805240470242916,0.009499610605448964
53,1.906445,0.05404193326586169,0.009306035129441937
54,1.869214,0.05742355781640475,0.010764099590601655
55,1.852313,0.06091967678120814,0.01150996051487212
56,1.7762360000000001,0.06450116277952637,0.011038853408659954
57,1.6501195,0.06816901750873687,0.010559049525872973
58,1.610027,0.07195437174433988,0.010033067071750303
59,1.614422,0.07588966622175417,0.011126873538007679
60,1.6767835,0.08000734167639834,0.012838241056668837
61,1.76258,0.08434097609168222,0.011953203197821633
62,1.8286845,0.08895030415480973,0.01062020642530426
63,1.8742465,0.09392121725677885,0.01029132705659974
64,1.930803,0.09934074403657876,0.009893307046269117
65,2.0249205,0.10529591313319855,0.009824785124932942
66,1.999274,0.11187452384374476,0.008448902475459878
67,1.8842364999999999,0.11918210060202437,0.0073325177121789315
68,1.8123505,0.12734189297854479,0.0069870538139295835
69,1.7269045,0.1364779212019309,0.005572253651625845
70,1.6621400000000002,0.14671420550080747,0.0050726796772445305
71,1.615769,0.1581738824133387,0.0049873748749167095
72,1.4922695000000001,0.1709597635970929,0.0043675143382976836
73,1.3962375,0.18515433582904203,0.0037681502052359303
74,1.3379675,0.20083920219569776,0.00234786870684612
75,1.2612955,0.2180959657835715,0.0022168552207713316
76,1.2246885,0.23700109454290016,0.002157181844434046
77,1.0791735,0.2575129482896042,0.0010780339898338726
78,0.918832,0.2794717787052871,0.0012305790663983739
79,0.814222,0.3027127023352782,0.0006326145054687632
80,0.5879605,0.3270708357249065,0.0
81,0.3687525,0.3523886334950604,0.0
82,0.2847475,0.37867732600449067,0.0
83,0.3270805,0.4061169193498097,0.0
84,0.4570885,0.4348947577031897,0.0
85,0.5251180000000001,0.4651981852368025,0.0
86,0.5145775,0.4971859662868579,0.0
87,0.4817015,0.5303595289624335,0.0
88,0.4336005,0.5635629651454743,0.0
89,0.343231,0.5956117868819634,0.0
90,0.24821100000000001,0.6253215062178835,0.0
91,0.17656200000000002,0.6515985517975077,0.0
92,0.1274385,0.6754404340257756,0.0
93,0.11580549999999999,0.699935745068293,0.0
94,0.10254949999999999,0.7282639936889572,0.0
95,0.08562,0.7636046886516632,0.0
96,0.068076,0.8089119284331111,0.0
97,0.0505465,0.861955374904465,0.0
98,0.036274,0.9153202533313535,0.0
99,0.024023,0.9613663786922092,0.0
100,0.015157,0.9924535659654635,
